relocation_section	offset	type	target_addend	owning_function
.rela.text	0x8c4	R_AARCH64_CALL26	i2c_unregister_device + 0	tiny2c_usb_i2c_remove
.rela.text	0x8f8	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 26d	tiny2c_usb_probe
.rela.text	0x8fc	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 26d	tiny2c_usb_probe
.rela.text	0x900	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_probe
.rela.text	0x904	R_AARCH64_ADR_PREL_PG_HI21	kmalloc_caches + 30	tiny2c_usb_probe
.rela.text	0x910	R_AARCH64_LDST64_ABS_LO12_NC	kmalloc_caches + 30	tiny2c_usb_probe
.rela.text	0x914	R_AARCH64_CALL26	kmalloc_trace + 0	tiny2c_usb_probe
.rela.text	0x918	R_AARCH64_ADR_PREL_PG_HI21	.bss + 8	tiny2c_usb_probe
.rela.text	0x91c	R_AARCH64_LDST64_ABS_LO12_NC	.bss + 8	tiny2c_usb_probe
.rela.text	0x924	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 89	tiny2c_usb_probe
.rela.text	0x928	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 89	tiny2c_usb_probe
.rela.text	0x92c	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_probe
.rela.text	0x93c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + ad	tiny2c_usb_probe
.rela.text	0x940	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + ad	tiny2c_usb_probe
.rela.text	0x944	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 41f	tiny2c_usb_probe
.rela.text	0x948	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 41f	tiny2c_usb_probe
.rela.text	0x950	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_probe
.rela.text	0x958	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 1bf	tiny2c_usb_probe
.rela.text	0x95c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 1bf	tiny2c_usb_probe
.rela.text	0x96c	R_AARCH64_CALL26	of_get_named_gpio_flags + 0	tiny2c_usb_probe
.rela.text	0x978	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 23d	tiny2c_usb_probe
.rela.text	0x97c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 23d	tiny2c_usb_probe
.rela.text	0x980	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 41f	tiny2c_usb_probe
.rela.text	0x984	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 41f	tiny2c_usb_probe
.rela.text	0x98c	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_probe
.rela.text	0x99c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 369	tiny2c_usb_probe
.rela.text	0x9a0	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 369	tiny2c_usb_probe
.rela.text	0x9a4	R_AARCH64_CALL26	gpio_request + 0	tiny2c_usb_probe
.rela.text	0x9ac	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 326	tiny2c_usb_probe
.rela.text	0x9b0	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 326	tiny2c_usb_probe
.rela.text	0x9c0	R_AARCH64_CALL26	of_get_named_gpio_flags + 0	tiny2c_usb_probe
.rela.text	0x9cc	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 2c	tiny2c_usb_probe
.rela.text	0x9d0	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 2c	tiny2c_usb_probe
.rela.text	0x9d4	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 41f	tiny2c_usb_probe
.rela.text	0x9d8	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 41f	tiny2c_usb_probe
.rela.text	0x9e0	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_probe
.rela.text	0x9f0	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 141	tiny2c_usb_probe
.rela.text	0x9f4	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 141	tiny2c_usb_probe
.rela.text	0x9f8	R_AARCH64_CALL26	gpio_request + 0	tiny2c_usb_probe
.rela.text	0xa00	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 25b	tiny2c_usb_probe
.rela.text	0xa04	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 25b	tiny2c_usb_probe
.rela.text	0xa14	R_AARCH64_CALL26	of_get_named_gpio_flags + 0	tiny2c_usb_probe
.rela.text	0xa20	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + ba	tiny2c_usb_probe
.rela.text	0xa24	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + ba	tiny2c_usb_probe
.rela.text	0xa28	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 41f	tiny2c_usb_probe
.rela.text	0xa2c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 41f	tiny2c_usb_probe
.rela.text	0xa34	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_probe
.rela.text	0xa44	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 22e	tiny2c_usb_probe
.rela.text	0xa48	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 22e	tiny2c_usb_probe
.rela.text	0xa4c	R_AARCH64_CALL26	gpio_request + 0	tiny2c_usb_probe
.rela.text	0xa54	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + d7	tiny2c_usb_probe
.rela.text	0xa58	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + d7	tiny2c_usb_probe
.rela.text	0xa5c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 41f	tiny2c_usb_probe
.rela.text	0xa60	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 41f	tiny2c_usb_probe
.rela.text	0xa64	R_AARCH64_CALL26	_printk + 0	tiny2c_usb_probe
.rela.text	0xa68	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 434	tiny2c_usb_probe
.rela.text	0xa6c	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 434	tiny2c_usb_probe
.rela.text	0xa7c	R_AARCH64_CALL26	of_get_named_gpio_flags + 0	tiny2c_usb_probe
.rela.text	0xa8c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 4a	tiny2c_usb_probe
.rela.text	0xa90	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 4a	tiny2c_usb_probe
.rela.text	0xa94	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1 + 41f	tiny2c_usb_probe
.rela.text	0xa98	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1 + 41f	tiny2c_usb_probe
