file_offset	string
0x218d1	sysfs_create_group
0x218e4	hyn_gesture_group
0x218f6	cst3xx_touch_up
0x21906	tpd_up
0x2190d	hynitron_fw_grp
0x2191d	hynitron_chip_type_grp
0x21934	dev_attr_hynfwupgradeapp
0x2194d	msleep
0x21954	hyn_enter_deep_sleep
0x21969	cst8xx_firmware_info
0x2197e	cst3xx_firmware_info
0x21993	hyn_firmware_info
0x219a5	cst3xx_touch_down
0x219b7	tpd_down
0x219c0	second_touch_fw_version
0x219d8	queue_work_on
0x219e6	__kstrtabns_tiny_tp_power_contorl
0x21a08	__crc_tiny_tp_power_contorl
0x21a24	__kstrtab_tiny_tp_power_contorl
0x21a44	__ksymtab_tiny_tp_power_contorl
0x21a64	__kstrtabns_tiny_tp_gesture_contorl
0x21a88	__crc_tiny_tp_gesture_contorl
0x21aa6	__kstrtab_tiny_tp_gesture_contorl
0x21ac8	__ksymtab_tiny_tp_gesture_contorl
0x21aea	__stack_chk_fail
0x21afb	_printk
0x21b03	mutex_unlock
0x21b10	mutex_lock
0x21b1b	hyn_dt_match
0x21b28	of_find_matching_node_and_match
0x21b48	dev_attr_hyntprwreg
0x21b5c	dev_attr_hyn_gesture_buf
0x21b75	sprintf
0x21b7d	snprintf
0x21b86	hyn_remove
0x21b91	__flush_workqueue
0x21ba3	alloc_workqueue
0x21bb3	hyn_i2c_write_byte
0x21bc6	hyn_i2c_read_byte
0x21bd8	cst3xx_i2c_write
0x21be9	hyn_i2c_write
0x21bf7	dev_attr_hynfwupdate
0x21c0c	hyn_check_gesture
0x21c1e	hyntpfactorytest_store
0x21c35	hyn_tpfwver_store
0x21c47	hyn_fwupgradeapp_store
0x21c5e	hyn_tprwreg_store
0x21c70	hyn_gesture_buf_store
0x21c86	hyn_fwupdate_store
0x21c99	hyn_gesture_store
0x21cab	irq_set_irq_type
0x21cbc	hyn_gesture_resume
0x21ccf	init_module
0x21cdb	__this_module
0x21ce9	cleanup_module
0x21cf8	__mod_of__hyn_dt_match_device_table
0x21d1c	__mod_i2c__hyn_tpd_id_device_table
0x21d3f	hyn_irq_disable
0x21d4f	hyn_irq_enable
0x21d5e	irq_set_irq_wake
0x21d6f	kfree
0x21d75	gpio_free
0x21d7f	hyn_irq_normal_mode
0x21d93	hyn_irq_gesture_mode
0x21da8	dev_attr_hyn_gesture_mode
0x21dc2	input_register_device
0x21dd8	of_match_device
0x21de8	input_allocate_device
0x21dfe	input_free_device
0x21e10	kmalloc_trace
0x21e1e	hyn_probe
0x21e28	hyn_gesture_suspend
0x21e3c	hyn_tpd_id
0x21e47	yft_set_touch_device_used
0x21e61	yft_touchpanel_device_add
0x21e7b	kobject_create_and_add
0x21e92	cst3xx_i2c_read
0x21ea2	hyn_i2c_read
0x21eaf	gpio_to_desc
0x21ebc	hyn_reset_proc
0x21ecb	hyn_reset_watchdog_proc
0x21ee3	__kmalloc
0x21eed	disable_irq_nosync
0x21f00	fortify_panic
0x21f0e	hyn_gesture_readdata
0x21f23	hyn_ts_data
0x21f2f	hyn_gesture_data
0x21f40	_note_9
0x21f48	__UNIQUE_ID_description469
0x21f63	$d.49
0x21f69	$x.39
0x21f6f	$x.29
0x21f75	$d.29
0x21f7b	$x.19
0x21f81	$d.19
0x21f87	$x.9
0x21f8c	$d.9
0x21f91	__UNIQUE_ID_author468
0x21fa7	$d.58
0x21fad	$d.48
0x21fb3	__UNIQUE_ID_alias338
0x21fc8	$d.38
0x21fce	$d.28
0x21fd4	$x.18
0x21fda	$d.18
0x21fe0	$x.8
0x21fe5	$d.8
0x21fea	__UNIQUE_ID___addressable_cleanup_module467
0x22016	$d.57
0x2201c	__UNIQUE_ID_alias337
0x22031	$x.37
0x22037	$x.27
0x2203d	$d.27
0x22043	$x.17
0x22049	$d.17
0x2204f	$x.7
0x22054	$d.7
0x22059	__UNIQUE_ID___addressable_init_module466
0x22082	$d.46
0x22088	__UNIQUE_ID_alias336
0x2209d	$d.36
0x220a3	$x.26
0x220a9	$d.26
0x220af	$x.16
0x220b5	$d.16
0x220bb	$x.6
0x220c0	$d.6
0x220c5	$d.45
0x220cb	__UNIQUE_ID_depends335
0x220e2	$x.35
0x220e8	$d.35
0x220ee	$x.25
0x220f4	$d.25
0x220fa	$x.15
0x22100	$d.15
0x22106	$x.5
0x2210b	$d.5
0x22110	$d.44
0x22116	__UNIQUE_ID_name334
0x2212a	$d.34
0x22130	$x.24
0x22136	$d.24
0x2213c	$x.14
0x22142	$d.14
0x22148	$x.4
0x2214d	$d.4
0x22152	$x.43
0x22158	__UNIQUE_ID_vermagic333
0x22170	$x.33
0x22176	$d.33
0x2217c	$x.23
0x22182	$d.23
0x22188	$x.13
0x2218e	$d.13
0x22194	$d.3
0x22199	$d.42
0x2219f	$d.32
0x221a5	$x.22
0x221ab	$d.22
0x221b1	$x.12
0x221b7	$d.12
0x221bd	$x.2
0x221c2	$d.2
0x221c7	$d.51
0x221cd	$x.41
0x221d3	$x.31
0x221d9	$x.21
0x221df	$d.21
0x221e5	$x.11
0x221eb	$d.11
0x221f1	$d.1
0x221f6	__UNIQUE_ID_license470
0x2220d	$d.50
0x22213	$d.40
0x22219	$d.30
0x2221f	$x.20
0x22225	$d.20
0x2222b	_note_10
0x22234	$x.10
0x2223a	$d.10
