index	relocation_section	target_section	offset_hex	type	symbol	addend	info	symbol_value
432	.rela.text	.text	0x1864	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	83c	0000009500000115	0000000000000000
433	.rela.text	.text	0x1870	R_AARCH64_CALL26	_dev_err	0	0000009c0000011b	0000000000000000
434	.rela.text	.text	0x18ec	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	457	0000009500000113	0000000000000000
435	.rela.text	.text	0x18f0	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	457	0000009500000115	0000000000000000
436	.rela.text	.text	0x18f4	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	32d	0000009500000113	0000000000000000
437	.rela.text	.text	0x18f8	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	32d	0000009500000115	0000000000000000
438	.rela.text	.text	0x1900	R_AARCH64_CALL26	_dev_info	0	000000ab0000011b	0000000000000000
439	.rela.text	.text	0x191c	R_AARCH64_CALL26	regmap_field_update_bits_base	0	000000ac0000011b	0000000000000000
440	.rela.text	.text	0x1940	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	83c	0000009500000113	0000000000000000
441	.rela.text	.text	0x1944	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	83c	0000009500000115	0000000000000000
442	.rela.text	.text	0x1950	R_AARCH64_CALL26	_dev_err	0	0000009c0000011b	0000000000000000
443	.rela.text	.text	0x19bc	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	457	0000009500000113	0000000000000000
444	.rela.text	.text	0x19c0	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	457	0000009500000115	0000000000000000
445	.rela.text	.text	0x19c4	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	9b4	0000009500000113	0000000000000000
446	.rela.text	.text	0x19c8	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	9b4	0000009500000115	0000000000000000
447	.rela.text	.text	0x19d0	R_AARCH64_CALL26	_dev_info	0	000000ab0000011b	0000000000000000
448	.rela.text	.text	0x19ec	R_AARCH64_CALL26	regmap_field_update_bits_base	0	000000ac0000011b	0000000000000000
449	.rela.text	.text	0x1a10	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	83c	0000009500000113	0000000000000000
450	.rela.text	.text	0x1a14	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	83c	0000009500000115	0000000000000000
451	.rela.text	.text	0x1a20	R_AARCH64_CALL26	_dev_err	0	0000009c0000011b	0000000000000000
452	.rela.text	.text	0x1a9c	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	457	0000009500000113	0000000000000000
453	.rela.text	.text	0x1aa0	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	457	0000009500000115	0000000000000000
454	.rela.text	.text	0x1aa4	R_AARCH64_ADR_PREL_PG_HI21	.rodata.str1.1	1cf	0000009500000113	0000000000000000
455	.rela.text	.text	0x1aa8	R_AARCH64_ADD_ABS_LO12_NC	.rodata.str1.1	1cf	0000009500000115	0000000000000000
